n;area;area_diff
1000;0.933325;0.0111921
2000;0.967353;0.0228353
3000;0.930084;0.0144328
4000;0.930895;0.0136227
5000;0.867215;0.0773027
6000;0.879853;0.0646639
7000;1.0111;0.066585
8000;0.904159;0.0403585
9000;0.940887;0.00363047
10000;0.98388;0.039363
11000;0.935093;0.00942447
12000;1.0111;0.066585
13000;0.92809;0.0164271
14000;0.950686;0.00616882
15000;0.911936;0.0325808
16000;0.913273;0.031244
17000;0.946479;0.00196134
18000;0.952769;0.00825214
19000;0.90467;0.0398469
20000;0.951797;0.00727992
21000;0.968047;0.0235298
22000;0.958514;0.013997
23000;0.93882;0.00569701
24000;0.951149;0.00663178
25000;0.974547;0.0300297
26000;0.923229;0.0212882
27000;0.949529;0.00501143
28000;0.955894;0.0113771
29000;0.937348;0.00716918
30000;0.949205;0.00468735
31000;0.949633;0.00511596
32000;0.926945;0.0175723
33000;0.942163;0.00235383
34000;0.971928;0.0274105
35000;0.949158;0.00464106
36000;0.923333;0.0211843
37000;0.950667;0.00615005
38000;0.965306;0.0207886
39000;0.942299;0.00221785
40000;0.95763;0.0131132
41000;0.939965;0.00455263
42000;0.956242;0.0117243
43000;0.941465;0.00305267
44000;0.945036;0.00051862
45000;0.946288;0.00177071
46000;0.9403;0.00421756
47000;0.953804;0.00928641
48000;0.930287;0.0142303
49000;0.934516;0.0100017
50000;0.939353;0.00516441
51000;0.950863;0.00634584
52000;0.959874;0.0153568
53000;0.948;0.00348279
54000;0.941067;0.00345043
55000;0.943754;0.000762934
56000;0.944089;0.000428341
57000;0.943388;0.00112887
58000;0.941036;0.00348147
59000;0.945848;0.0013313
60000;0.945316;0.0007985
61000;0.952132;0.00761462
62000;0.941793;0.00272447
63000;0.958788;0.0142706
64000;0.970695;0.0261773
65000;0.925398;0.0191194
66000;0.947319;0.00280185
67000;0.923168;0.0213496
68000;0.934183;0.0103343
69000;0.946711;0.00219342
70000;0.951658;0.00714104
71000;0.9273;0.0172171
72000;0.938321;0.00619604
73000;0.959695;0.0151775
74000;0.943573;0.000944477
75000;0.943177;0.00134037
76000;0.931534;0.0129831
77000;0.942416;0.00210131
78000;0.952146;0.00762892
79000;0.923603;0.0209143
80000;0.9552;0.0106827
81000;0.935606;0.00891163
82000;0.936289;0.00822807
83000;0.954761;0.0102434
84000;0.935293;0.00922456
85000;0.925776;0.0187411
86000;0.916255;0.0282624
87000;0.959474;0.0149571
88000;0.923161;0.0213562
89000;0.955719;0.0112015
90000;0.922091;0.0224266
91000;0.946893;0.00237612
92000;0.941145;0.00337216
93000;0.929666;0.014851
94000;0.956286;0.0117687
95000;0.941614;0.00290273
96000;0.933629;0.0108883
97000;0.946054;0.00153685
98000;0.937591;0.0069263
99000;0.948841;0.004324
100000;0.941589;0.00292832
101000;0.936502;0.00801559
102000;0.934469;0.0100484
103000;0.942009;0.00250828
104000;0.950432;0.00591509
105000;0.951288;0.00677067
106000;0.940296;0.00422155
107000;0.951406;0.00688922
108000;0.929724;0.0147929
109000;0.937339;0.00717841
110000;0.937479;0.00703813
111000;0.952857;0.00833972
112000;0.923082;0.0214351
113000;0.943391;0.00112585
114000;0.936992;0.00752501
115000;0.937129;0.00738782
116000;0.939611;0.00490627
117000;0.954597;0.0100802
118000;0.930524;0.0139934
119000;0.94125;0.00326737
120000;0.934945;0.00957178
121000;0.957992;0.0134748
122000;0.949024;0.00450672
123000;0.954903;0.0103863
124000;0.953945;0.0094282
125000;0.935425;0.00909215
126000;0.955238;0.0107213
127000;0.95231;0.00779282
128000;0.937123;0.00739442
129000;0.958799;0.0142814
130000;0.938485;0.00603192
131000;0.961898;0.0173806
132000;0.94754;0.00302281
133000;0.954451;0.00993341
134000;0.955309;0.0107915
135000;0.945496;0.00097854
136000;0.950839;0.00632201
137000;0.950144;0.00562645
138000;0.936918;0.00759917
139000;0.955707;0.0111898
140000;0.944644;0.00012721
141000;0.950011;0.00549408
142000;0.933462;0.0110552
143000;0.938832;0.00568519
144000;0.946963;0.00244586
