n;area;area_diff
100;0.486107;0.45841
600;0.826382;0.118136
1100;1.03408;0.0895645
1600;0.947908;0.00339107
2100;0.962954;0.0184372
2600;0.99091;0.0463928
3100;0.925171;0.0193462
3600;0.837184;0.107333
4100;0.882106;0.0624112
4600;0.991235;0.046718
5100;1.00843;0.0639161
5600;0.979158;0.0346408
6100;0.882961;0.061556
6600;0.981052;0.0365347
7100;0.947566;0.00304874
7600;0.949187;0.0046703
8100;0.891796;0.0527213
8600;0.948473;0.00395631
9100;0.970077;0.0255597
9600;0.988417;0.0439
10100;0.932747;0.0117697
10600;0.904342;0.0401751
11100;0.945938;0.00142037
11600;0.965509;0.0209915
12100;0.938467;0.00604985
12600;0.889653;0.0548646
13100;0.92249;0.0220275
13600;0.974358;0.029841
14100;0.93498;0.0095373
14600;0.965555;0.0210374
15100;0.939377;0.00513994
15600;0.932951;0.0115661
16100;0.961948;0.0174308
16600;0.884363;0.0601542
17100;0.952883;0.00836585
17600;0.958956;0.014439
18100;0.915277;0.0292399
18600;0.931443;0.0130738
19100;0.962033;0.0175162
19600;0.912194;0.0323229
20100;0.940774;0.00374333
20600;0.975045;0.0305281
21100;0.968527;0.0240103
21600;0.931705;0.0128125
22100;0.910185;0.0343317
22600;0.933497;0.0110201
23100;0.950328;0.00581108
23600;0.991575;0.0470583
24100;0.935503;0.00901373
24600;0.933483;0.0110341
25100;0.957882;0.013365
25600;0.946389;0.00187199
26100;0.912987;0.0315304
26600;0.928354;0.0161629
27100;0.930957;0.0135599
27600;0.929943;0.0145737
28100;0.927928;0.0165895
28600;0.918164;0.0263532
29100;0.930118;0.0143994
29600;0.922618;0.0218996
30100;0.953803;0.00928572
30600;0.938853;0.00566386
31100;0.930637;0.0138806
31600;0.952523;0.00800601
32100;0.945258;0.000740955
32600;0.940005;0.00451189
33100;0.932561;0.0119558
33600;0.95138;0.00686326
34100;0.977346;0.0328283
34600;0.946644;0.00212663
35100;0.966397;0.0218797
35600;0.947908;0.00339107
36100;0.962518;0.0180012
36600;0.936353;0.00816393
37100;0.93343;0.0110873
37600;0.951787;0.00726958
38100;0.963282;0.0187653
38600;0.939471;0.00504654
39100;0.949338;0.0048208
39600;0.94398;0.000537066
40100;0.909177;0.0353399
40600;0.940844;0.00367304
41100;0.960623;0.0161055
41600;0.972447;0.0279301
42100;0.959743;0.0152262
42600;0.969019;0.0245013
43100;0.93319;0.0113275
43600;0.93386;0.010657
44100;0.925918;0.0185995
44600;0.937772;0.00674524
45100;0.945914;0.00139706
45600;0.933837;0.0106804
46100;0.904728;0.0397891
46600;0.958027;0.0135096
47100;0.946412;0.00189456
47600;0.937696;0.00682126
48100;0.93765;0.00686669
48600;0.929804;0.0147129
49100;0.943107;0.0014106
49600;0.951828;0.00731129
50100;0.942911;0.00160584
50600;0.958764;0.0142468
51100;0.937016;0.00750115
51600;0.957141;0.0126233
52100;0.975946;0.0314285
52600;0.957612;0.0130947
53100;0.936877;0.00764017
53600;0.930858;0.0136589
54100;0.947773;0.00325629
54600;0.962598;0.0180811
55100;0.960921;0.0164039
55600;0.958749;0.0142323
56100;0.93634;0.00817671
56600;0.924462;0.0200554
57100;0.960295;0.0157779
57600;0.954491;0.00997377
58100;0.957488;0.012971
58600;0.9606;0.0160829
59100;0.953296;0.00877855
59600;0.92866;0.0158575
60100;0.940184;0.00433326
60600;0.960021;0.0155036
61100;0.930206;0.0143109
61600;0.941753;0.00276418
62100;0.935423;0.00909428
62600;0.939599;0.00491778
63100;0.937701;0.0068164
63600;0.948214;0.0036968
64100;0.951435;0.00691743
64600;0.953853;0.00933572
65100;0.95937;0.014853
65600;0.945389;0.000871614
66100;0.967507;0.0229898
66600;0.944478;3.94137e-05
67100;0.962506;0.0179888
67600;0.946182;0.00166525
68100;0.946516;0.00199913
68600;0.933949;0.0105686
69100;0.928598;0.0159195
69600;0.957966;0.0134485
70100;0.948359;0.00384181
70600;0.942607;0.00191066
71100;0.954711;0.0101938
71600;0.945193;0.000675389
72100;0.942683;0.00183407
72600;0.931638;0.0128794
73100;0.948407;0.00388981
73600;0.93919;0.00532715
74100;0.954895;0.0103776
74600;0.956314;0.0117969
75100;0.946322;0.00180524
75600;0.943664;0.00085272
76100;0.937337;0.00718064
76600;0.953937;0.00941981
77100;0.93968;0.00483681
77600;0.945778;0.00126122
78100;0.947192;0.00267529
78600;0.944754;0.000236942
79100;0.959923;0.0154055
79600;0.939603;0.00491427
80100;0.946118;0.00160079
80600;0.94833;0.00381325
81100;0.950516;0.00599842
81600;0.944334;0.000183245
82100;0.962503;0.0179861
82600;0.956089;0.0115713
83100;0.939222;0.00529568
83600;0.945001;0.000483732
84100;0.960075;0.0155582
84600;0.945897;0.00137999
85100;0.947651;0.00313402
85600;0.957903;0.0133858
86100;0.945001;0.000483462
86600;0.939095;0.00542172
87100;0.938169;0.00634781
87600;0.946022;0.00150435
88100;0.942529;0.00198866
88600;0.938197;0.00632009
89100;0.939152;0.0053654
89600;0.951489;0.00697177
90100;0.938332;0.0061854
90600;0.935836;0.00868112
91100;0.941265;0.00325221
91600;0.934429;0.0100883
92100;0.93854;0.00597744
92600;0.955625;0.0111079
93100;0.942765;0.00175195
93600;0.937106;0.0074113
94100;0.936673;0.00784466
94600;0.957517;0.0130002
95100;0.94686;0.00234321
95600;0.941095;0.00342256
96100;0.939638;0.00487932
96600;0.937995;0.00652229
97100;0.942877;0.00164021
97600;0.941832;0.00268527
98100;0.954375;0.00985763
98600;0.939083;0.00543379
99100;0.947982;0.00346465
99600;0.933169;0.0113483
