scale;area;area_diff
1;0.941861;0.0026561
1.1;0.943714;0.000802865
1.2;0.944894;0.00037643
1.3;0.943434;0.00108306
1.4;0.945395;0.000877703
1.5;0.951313;0.00679625
1.6;0.944276;0.00024112
1.7;0.947627;0.00310942
1.8;0.939605;0.00491202
1.9;0.934982;0.00953548
2;0.948725;0.00420773
2.1;0.943499;0.00101831
2.2;0.947267;0.0027498
2.3;0.94976;0.00524246
2.4;0.93508;0.00943748
2.5;0.94086;0.00365748
2.6;0.938768;0.00574929
2.7;0.934337;0.0101804
2.8;0.958181;0.0136639
2.9;0.936434;0.00808368
3;0.936767;0.0077505
3.1;0.952423;0.00790545
3.2;0.942982;0.00153533
3.3;0.944185;0.000332314
3.4;0.952263;0.00774542
3.5;0.940502;0.00401477
3.6;0.932518;0.0119995
3.7;0.941122;0.00339508
3.8;0.937368;0.00714889
3.9;0.934857;0.00965973
4;0.941725;0.00279221
4.1;0.963741;0.0192242
4.2;0.949073;0.00455539
4.3;0.944112;0.000405619
4.4;0.949008;0.00449084
4.5;0.966648;0.0221305
4.6;0.930268;0.0142496
4.7;0.933356;0.0111616
4.8;0.974167;0.0296502
4.9;0.952855;0.00833789
5;0.944749;0.000231376
5.1;0.978618;0.0341004
5.2;0.937716;0.00680084
5.3;0.944089;0.000428466
5.4;0.978633;0.0341161
5.5;0.958454;0.0139372
5.6;0.957343;0.0128254
5.7;0.933718;0.010799
5.8;0.938968;0.00554902
5.9;0.943536;0.000981169
6;0.912442;0.0320753
6.1;0.96156;0.0170427
6.2;0.938408;0.00610901
6.3;0.944228;0.000289439
6.4;0.953336;0.00881835
6.5;0.926264;0.0182528
6.6;0.936774;0.0077435
6.7;0.952719;0.00820226
6.8;0.947655;0.00313752
6.9;0.984989;0.0404721
7;0.973254;0.0287367
7.1;0.958622;0.0141045
7.2;0.939448;0.00506952
7.3;0.956917;0.0123999
7.4;0.950838;0.00632093
7.5;0.951554;0.00703687
7.6;0.966429;0.0219113
7.7;0.958019;0.0135019
7.8;0.918591;0.0259258
7.9;0.90407;0.040447
8;0.944525;7.7664e-06
8.1;0.933841;0.0106765
8.2;0.913242;0.0312753
8.3;0.959763;0.015246
8.4;0.933638;0.0108795
8.5;0.978477;0.0339599
8.6;0.923978;0.020539
8.7;0.89408;0.050437
8.8;0.943361;0.00115578
8.9;0.981865;0.0373481
9;0.924517;0.0200004
9.1;0.9806;0.0360825
9.2;0.983343;0.0388263
9.3;0.919068;0.025449
9.4;0.961275;0.0167575
9.5;0.869526;0.0749912
9.6;0.95692;0.0124023
9.7;0.915671;0.0288467
9.8;0.948653;0.00413617
9.9;0.948102;0.00358503
10;0.971241;0.0267242
