n;type;threshold;msec
500;"random";0;438084
600;"random";0;479792
700;"random";0;453166
800;"random";0;518750
900;"random";0;594958
1000;"random";0;660375
1100;"random";0;729708
1200;"random";0;908250
1300;"random";0;858459
1400;"random";0;921625
1500;"random";0;989167
1600;"random";0;1333959
1700;"random";0;1577209
1800;"random";0;1678542
1900;"random";0;1687292
2000;"random";0;1466375
2100;"random";0;1867459
2200;"random";0;1741500
2300;"random";0;1743375
2400;"random";0;1801375
2500;"random";0;1990042
2600;"random";0;2179750
2700;"random";0;2132125
2800;"random";0;2184625
2900;"random";0;2253916
3000;"random";0;2393125
3100;"random";0;2304500
3200;"random";0;2359917
3300;"random";0;2265417
3400;"random";0;2198542
3500;"random";0;2204167
3600;"random";0;2259250
3700;"random";0;2301083
3800;"random";0;2266792
3900;"random";0;2302916
4000;"random";0;2354250
4100;"random";0;2413959
4200;"random";0;2305292
4300;"random";0;2385583
4400;"random";0;2461583
4500;"random";0;2483834
4600;"random";0;2525375
4700;"random";0;2560458
4800;"random";0;2588959
4900;"random";0;2617709
5000;"random";0;2668792
5100;"random";0;2718542
5200;"random";0;2869334
5300;"random";0;2741916
5400;"random";0;2799084
5500;"random";0;2821708
5600;"random";0;2872958
5700;"random";0;2924167
5800;"random";0;2967667
5900;"random";0;3016667
6000;"random";0;3067708
6100;"random";0;3117208
6200;"random";0;3197375
6300;"random";0;3251000
6400;"random";0;3301458
6500;"random";0;3420833
6600;"random";0;3459833
6700;"random";0;3483333
6800;"random";0;3564292
6900;"random";0;3587042
7000;"random";0;3642250
7100;"random";0;3701750
7200;"random";0;3756375
7300;"random";0;3813583
7400;"random";0;3868584
7500;"random";0;3919250
7600;"random";0;3965458
7700;"random";0;4012542
7800;"random";0;4061292
7900;"random";0;4105125
8000;"random";0;4151333
8100;"random";0;4220708
8200;"random";0;4268917
8300;"random";0;4349792
8400;"random";0;4400542
8500;"random";0;4445959
8600;"random";0;4487166
8700;"random";0;4544042
8800;"random";0;4605542
8900;"random";0;4650541
9000;"random";0;4720000
9100;"random";0;4885666
9200;"random";0;4788584
9300;"random";0;4850708
9400;"random";0;4906417
9500;"random";0;4956625
9600;"random";0;5049125
9700;"random";0;5086083
9800;"random";0;5147875
9900;"random";0;5185791
10000;"random";0;5239042
500;"reversed";0;228458
600;"reversed";0;273125
700;"reversed";0;320417
800;"reversed";0;370000
900;"reversed";0;422833
1000;"reversed";0;468916
1100;"reversed";0;517875
1200;"reversed";0;566208
1300;"reversed";0;621459
1400;"reversed";0;663958
1500;"reversed";0;721125
1600;"reversed";0;764875
1700;"reversed";0;821167
1800;"reversed";0;871584
1900;"reversed";0;923583
2000;"reversed";0;970792
2100;"reversed";0;1018625
2200;"reversed";0;1073875
2300;"reversed";0;1120375
2400;"reversed";0;1174084
2500;"reversed";0;1227541
2600;"reversed";0;1270625
2700;"reversed";0;1329334
2800;"reversed";0;1376250
2900;"reversed";0;1423625
3000;"reversed";0;1476084
3100;"reversed";0;1523916
3200;"reversed";0;1581125
3300;"reversed";0;1638500
3400;"reversed";0;1699458
3500;"reversed";0;1748583
3600;"reversed";0;1801500
3700;"reversed";0;1860417
3800;"reversed";0;1909958
3900;"reversed";0;1963834
4000;"reversed";0;2006166
4100;"reversed";0;2052334
4200;"reversed";0;2108708
4300;"reversed";0;2165958
4400;"reversed";0;2211250
4500;"reversed";0;2263750
4600;"reversed";0;2315583
4700;"reversed";0;2371958
4800;"reversed";0;2422292
4900;"reversed";0;2475792
5000;"reversed";0;2532333
5100;"reversed";0;2576416
5200;"reversed";0;2629959
5300;"reversed";0;2683666
5400;"reversed";0;2733125
5500;"reversed";0;2787292
5600;"reversed";0;2832458
5700;"reversed";0;2883542
5800;"reversed";0;2940917
5900;"reversed";0;2990375
6000;"reversed";0;3050959
6100;"reversed";0;3093875
6200;"reversed";0;3155417
6300;"reversed";0;3208166
6400;"reversed";0;3268709
6500;"reversed";0;3399500
6600;"reversed";0;3432125
6700;"reversed";0;3464875
6800;"reversed";0;3521417
6900;"reversed";0;3582208
7000;"reversed";0;3611375
7100;"reversed";0;3656416
7200;"reversed";0;3727875
7300;"reversed";0;3776291
7400;"reversed";0;3875750
7500;"reversed";0;3909041
7600;"reversed";0;3951916
7700;"reversed";0;4002917
7800;"reversed";0;4049750
7900;"reversed";0;4166000
8000;"reversed";0;4225250
8100;"reversed";0;4284833
8200;"reversed";0;4326583
8300;"reversed";0;4399792
8400;"reversed";0;4450875
8500;"reversed";0;4503375
8600;"reversed";0;4557791
8700;"reversed";0;4605792
8800;"reversed";0;4663000
8900;"reversed";0;4717083
9000;"reversed";0;4769125
9100;"reversed";0;4821291
9200;"reversed";0;4866542
9300;"reversed";0;4930959
9400;"reversed";0;4986542
9500;"reversed";0;5080041
9600;"reversed";0;5102666
9700;"reversed";0;5177375
9800;"reversed";0;5235750
9900;"reversed";0;5278167
10000;"reversed";0;5324167
500;"almost_sorted";0;231166
600;"almost_sorted";0;278917
700;"almost_sorted";0;329833
800;"almost_sorted";0;377084
900;"almost_sorted";0;427459
1000;"almost_sorted";0;477750
1100;"almost_sorted";0;526875
1200;"almost_sorted";0;575291
1300;"almost_sorted";0;632833
1400;"almost_sorted";0;676625
1500;"almost_sorted";0;725416
1600;"almost_sorted";0;779750
1700;"almost_sorted";0;833208
1800;"almost_sorted";0;889250
1900;"almost_sorted";0;936959
2000;"almost_sorted";0;992042
2100;"almost_sorted";0;1041834
2200;"almost_sorted";0;1088750
2300;"almost_sorted";0;1151292
2400;"almost_sorted";0;1198791
2500;"almost_sorted";0;1247667
2600;"almost_sorted";0;1298500
2700;"almost_sorted";0;1349833
2800;"almost_sorted";0;1402083
2900;"almost_sorted";0;1448250
3000;"almost_sorted";0;1499875
3100;"almost_sorted";0;1556083
3200;"almost_sorted";0;1616958
3300;"almost_sorted";0;1675667
3400;"almost_sorted";0;1740958
3500;"almost_sorted";0;1785584
3600;"almost_sorted";0;1830959
3700;"almost_sorted";0;1897000
3800;"almost_sorted";0;1943750
3900;"almost_sorted";0;2002208
4000;"almost_sorted";0;2036416
4100;"almost_sorted";0;2086500
4200;"almost_sorted";0;2147500
4300;"almost_sorted";0;2202000
4400;"almost_sorted";0;2256750
4500;"almost_sorted";0;2304625
4600;"almost_sorted";0;2372292
4700;"almost_sorted";0;2409958
4800;"almost_sorted";0;2468125
4900;"almost_sorted";0;2546292
5000;"almost_sorted";0;2596041
5100;"almost_sorted";0;2769458
5200;"almost_sorted";0;2823666
5300;"almost_sorted";0;3065459
5400;"almost_sorted";0;3192250
5500;"almost_sorted";0;3204625
5600;"almost_sorted";0;2847167
5700;"almost_sorted";0;2907916
5800;"almost_sorted";0;2967167
5900;"almost_sorted";0;3054125
6000;"almost_sorted";0;3333500
6100;"almost_sorted";0;3112791
