n;array_type;sorting_type;time
1000;"random";"quick";107250
2000;"random";"quick";231208
3000;"random";"quick";360125
4000;"random";"quick";500458
5000;"random";"quick";641709
6000;"random";"quick";779875
7000;"random";"quick";938458
8000;"random";"quick";1097583
9000;"random";"quick";1231167
10000;"random";"quick";1376083
11000;"random";"quick";1534292
12000;"random";"quick";1691500
13000;"random";"quick";1876250
14000;"random";"quick";2088167
15000;"random";"quick";2285917
16000;"random";"quick";2440750
17000;"random";"quick";3133250
18000;"random";"quick";2970416
19000;"random";"quick";3494750
20000;"random";"quick";3250417
21000;"random";"quick";3354708
22000;"random";"quick";3580250
23000;"random";"quick";3823292
24000;"random";"quick";3901125
25000;"random";"quick";4026166
26000;"random";"quick";4270125
27000;"random";"quick";4414209
28000;"random";"quick";4666542
29000;"random";"quick";4701542
30000;"random";"quick";4895917
31000;"random";"quick";5042208
32000;"random";"quick";5344000
33000;"random";"quick";5478708
34000;"random";"quick";5577458
35000;"random";"quick";5558625
36000;"random";"quick";5614208
37000;"random";"quick";6006042
38000;"random";"quick";6300125
39000;"random";"quick";6580875
40000;"random";"quick";6531750
41000;"random";"quick";6716166
42000;"random";"quick";6691166
43000;"random";"quick";6965500
44000;"random";"quick";7188208
45000;"random";"quick";7261500
46000;"random";"quick";7463250
47000;"random";"quick";7554375
48000;"random";"quick";7764709
49000;"random";"quick";8048167
50000;"random";"quick";8311000
51000;"random";"quick";8519875
52000;"random";"quick";8768625
53000;"random";"quick";8949042
54000;"random";"quick";8881208
55000;"random";"quick";9024708
56000;"random";"quick";9282875
57000;"random";"quick";9497500
58000;"random";"quick";9569584
59000;"random";"quick";9789000
60000;"random";"quick";10041916
61000;"random";"quick";10089458
62000;"random";"quick";10299125
63000;"random";"quick";10431500
64000;"random";"quick";10769500
65000;"random";"quick";10929958
66000;"random";"quick";11030125
67000;"random";"quick";11194667
68000;"random";"quick";11376959
69000;"random";"quick";11545750
70000;"random";"quick";11799084
71000;"random";"quick";12031500
72000;"random";"quick";12177166
73000;"random";"quick";12327166
74000;"random";"quick";12554166
75000;"random";"quick";12678042
76000;"random";"quick";13055834
77000;"random";"quick";13161375
78000;"random";"quick";13190542
79000;"random";"quick";13513875
80000;"random";"quick";13585959
81000;"random";"quick";13933416
82000;"random";"quick";14480792
83000;"random";"quick";14182750
84000;"random";"quick";14577709
85000;"random";"quick";14657500
86000;"random";"quick";14772167
87000;"random";"quick";14961375
88000;"random";"quick";15121500
89000;"random";"quick";15395292
90000;"random";"quick";15509041
91000;"random";"quick";15813875
92000;"random";"quick";15961458
93000;"random";"quick";15952583
94000;"random";"quick";16163250
95000;"random";"quick";16438667
96000;"random";"quick";16791666
97000;"random";"quick";16874708
98000;"random";"quick";17095417
99000;"random";"quick";17132084
100000;"random";"quick";17514916
1000;"reversed";"quick";1592417
2000;"reversed";"quick";6319875
3000;"reversed";"quick";14184083
4000;"reversed";"quick";25206333
5000;"reversed";"quick";39334166
6000;"reversed";"quick";56663792
7000;"reversed";"quick";78938791
8000;"reversed";"quick";103880625
9000;"reversed";"quick";127378375
10000;"reversed";"quick";158452250
11000;"reversed";"quick";194558542
12000;"reversed";"quick";227223542
13000;"reversed";"quick";265682167
14000;"reversed";"quick";308600959
15000;"reversed";"quick";353682875
16000;"reversed";"quick";402335208
17000;"reversed";"quick";454667083
18000;"reversed";"quick";510606417
19000;"reversed";"quick";648677667
20000;"reversed";"quick";658498708
21000;"reversed";"quick";711714458
22000;"reversed";"quick";775841417
23000;"reversed";"quick";838080834
24000;"reversed";"quick";952278666
25000;"reversed";"quick";981614584
26000;"reversed";"quick";1063752042
27000;"reversed";"quick";1148941333
28000;"reversed";"quick";1232658333
29000;"reversed";"quick";1323976250
30000;"reversed";"quick";1414328500
31000;"reversed";"quick";1511660709
32000;"reversed";"quick";1607575708
33000;"reversed";"quick";1710191875
34000;"reversed";"quick";1815040458
35000;"reversed";"quick";1926711417
36000;"reversed";"quick";2043543625
37000;"reversed";"quick";2151341500
38000;"reversed";"quick";2273048167
39000;"reversed";"quick";2389828834
40000;"reversed";"quick";2525664875
41000;"reversed";"quick";3597560500
42000;"reversed";"quick";2870970833
43000;"reversed";"quick";2927088167
44000;"reversed";"quick";3045778333
45000;"reversed";"quick";3190702708
46000;"reversed";"quick";3332977542
47000;"reversed";"quick";3478608541
48000;"reversed";"quick";3622073709
49000;"reversed";"quick";3777668500
50000;"reversed";"quick";3951471583
51000;"reversed";"quick";4089024792
52000;"reversed";"quick";4253301084
53000;"reversed";"quick";4422338083
54000;"reversed";"quick";4588014167
55000;"reversed";"quick";4755633458
56000;"reversed";"quick";4982679750
57000;"reversed";"quick";5927082292
58000;"reversed";"quick";5296033750
59000;"reversed";"quick";5503254959
60000;"reversed";"quick";5672402334
61000;"reversed";"quick";5867718250
62000;"reversed";"quick";6099279500
63000;"reversed";"quick";6252373125
64000;"reversed";"quick";6441384000
65000;"reversed";"quick";6644584458
66000;"reversed";"quick";7468797708
67000;"reversed";"quick";7283996667
68000;"reversed";"quick";7334927708
69000;"reversed";"quick";7508410583
70000;"reversed";"quick";7712085084
71000;"reversed";"quick";7935980334
72000;"reversed";"quick";8157243375
73000;"reversed";"quick";8386286167
74000;"reversed";"quick";9245964084
75000;"reversed";"quick";8862290875
76000;"reversed";"quick";9132148375
77000;"reversed";"quick";9377722125
78000;"reversed";"quick";9623239666
79000;"reversed";"quick";9822097667
80000;"reversed";"quick";10764307250
81000;"reversed";"quick";10336214583
82000;"reversed";"quick";10598020583
83000;"reversed";"quick";10842822167
84000;"reversed";"quick";11101127250
85000;"reversed";"quick";11418563416
86000;"reversed";"quick";12102373666
87000;"reversed";"quick";11984117375
88000;"reversed";"quick";12243680792
89000;"reversed";"quick";12468097459
90000;"reversed";"quick";12894338750
91000;"reversed";"quick";13434660166
92000;"reversed";"quick";13328751917
