Size,AvgTime(ms),AvgComparisons
100,0.158,348
200,0.390,778
300,0.450,1208
400,0.517,1648
500,0.578,2076
600,0.767,2544
700,0.811,2988
800,0.876,3458
900,1.041,3902
1000,1.067,4348
1100,1.914,4808
1200,1.252,5284
1300,1.371,5756
1400,1.474,6228
1500,1.550,6686
1600,1.742,7218
1700,1.925,7722
1800,2.131,8248
1900,2.269,8738
2000,2.314,9228
2100,2.521,9768
2200,2.821,10340
2300,2.822,10848
2400,3.017,11406
2500,3.188,11940
2600,3.518,12456
2700,4.291,12968
2800,3.911,13500
2900,4.058,14044
3000,4.228,14578
