Size,AvgTime(ms),AvgComparisons
100,0.230,352
200,0.447,784
300,0.519,1226
400,0.540,1654
500,0.593,2092
600,0.693,2542
700,0.814,3012
800,0.922,3466
900,1.071,3918
1000,1.040,4380
1100,1.131,4846
1200,1.320,5340
1300,1.434,5798
1400,1.450,6264
1500,1.611,6766
1600,1.742,7252
1700,1.946,7754
1800,2.023,8270
1900,2.142,8752
2000,2.282,9260
2100,2.436,9752
2200,2.575,10266
2300,2.852,10808
2400,3.093,11328
2500,3.093,11852
2600,3.812,12362
2700,3.613,12884
2800,3.788,13420
2900,3.848,13968
3000,4.032,14520
