Size,AvgTime(ms),AvgComparisons
100,0.164,350
200,0.340,786
300,0.462,1226
400,0.527,1652
500,0.604,2100
600,0.684,2534
700,0.723,2968
800,0.824,3422
900,0.892,3862
1000,1.039,4346
1100,1.088,4788
1200,1.280,5284
1300,1.371,5758
1400,1.760,6238
1500,1.941,6692
1600,2.016,7176
1700,2.190,7674
1800,2.570,8186
1900,3.050,8698
2000,3.008,9200
2100,2.526,9702
2200,2.494,10206
2300,2.694,10728
2400,2.838,11230
2500,3.797,11776
2600,3.121,12306
2700,3.341,12868
2800,3.622,13392
2900,3.708,13914
3000,3.888,14454
