Size,AvgTime(ms),AvgComparisons
100,0.053,462
200,0.144,1240
300,0.215,1910
400,0.358,2895
500,0.438,3800
600,0.639,5089
700,0.714,6057
800,0.817,7489
900,0.941,8585
1000,1.050,9407
1100,1.296,10787
1200,1.334,12395
1300,1.516,13768
1400,1.567,14715
1500,1.713,16131
1600,1.832,17629
1700,1.951,18857
1800,2.371,19694
1900,2.326,21701
2000,2.431,22407
2100,2.503,24109
2200,2.641,25582
2300,2.704,26843
2400,2.898,28674
2500,3.036,30414
2600,3.469,31236
2700,4.171,33823
2800,3.902,35167
2900,3.808,37144
3000,3.942,38024
