Size,AvgTime(ms),AvgComparisons
100,0.125,591
200,0.268,1473
300,0.433,2496
400,0.471,3647
500,0.707,4824
600,0.712,6073
700,0.845,7403
800,1.105,8782
900,1.192,10142
1000,1.294,11561
1100,1.424,13031
1200,1.598,14481
1300,1.888,16017
1400,1.885,17534
1500,2.006,19108
1600,2.189,20684
1700,2.381,22317
1800,2.483,23868
1900,2.769,25499
2000,2.800,27142
2100,3.019,28775
2200,3.142,30493
2300,3.421,32189
2400,3.501,33884
2500,3.833,35597
2600,4.253,37302
2700,4.922,39097
2800,4.346,40810
2900,4.439,42567
3000,4.580,44418
