Size,AvgTime(ms),AvgComparisons
100,0.068,370
200,0.186,909
300,0.241,1528
400,0.365,2180
500,0.436,3012
600,0.548,3624
700,0.635,4380
800,0.733,5191
900,0.856,6050
1000,0.969,7093
1100,1.045,7790
1200,1.230,8525
1300,1.323,9470
1400,1.841,10333
1500,1.843,11265
1600,2.000,12116
1700,2.129,12954
1800,2.492,14044
1900,2.595,15113
2000,2.712,16329
2100,2.371,17226
2200,2.342,17955
2300,2.493,18843
2400,2.636,19654
2500,3.342,20614
2600,2.761,21612
2700,3.239,22521
2800,3.343,23497
2900,3.119,24582
3000,3.319,25619
