Size,AvgTime(ms),AvgComparisons
100,0.200,3116
200,0.882,14570
300,1.540,24126
400,2.495,40170
500,2.782,44870
600,2.779,45414
700,4.330,71471
800,3.443,58522
900,1.805,33353
1000,8.347,129428
1100,4.935,75895
1200,3.389,58447
1300,2.841,57046
1400,4.466,78415
1500,5.738,97987
1600,11.051,208733
1700,6.216,118523
1800,5.872,109155
1900,8.510,145259
2000,7.469,129208
2100,7.539,139550
2200,10.081,187737
2300,9.345,167267
2400,11.968,227157
2500,8.863,165684
2600,36.803,532724
2700,15.791,276283
2800,20.266,323409
2900,11.338,216677
3000,15.094,267753
