Size,AvgTime(ms),AvgComparisons
100,0.085,823
200,0.143,1645
300,0.236,2933
400,0.329,4279
500,0.372,5634
600,0.491,7567
700,0.604,9982
800,0.673,9964
900,0.760,11742
1000,0.835,13671
1100,0.939,15415
1200,1.066,17715
1300,1.627,19325
1400,1.318,21696
1500,1.498,25802
1600,1.553,25447
1700,1.497,25461
1800,1.720,28852
1900,1.895,31373
2000,1.901,32764
2100,2.080,35934
2200,2.029,34884
2300,2.365,38512
2400,2.457,40121
2500,2.607,43237
2600,2.569,44149
2700,3.183,47218
2800,3.044,51427
2900,3.012,52029
3000,3.194,55610
