Size,AvgTime(ms),AvgComparisons
100,0.300,5022
200,1.127,20171
300,2.521,45423
400,4.400,80832
500,6.838,126386
600,10.145,182038
700,13.412,247849
800,17.879,323826
900,21.985,409914
1000,27.340,506158
1100,32.731,612532
1200,39.305,729038
1300,48.224,855686
1400,63.975,992487
1500,76.586,1139410
1600,86.799,1296427
1700,97.889,1463629
1800,122.538,1640914
1900,124.817,1828392
2000,144.391,2026041
2100,160.889,2233855
2200,132.858,2451797
2300,144.573,2679709
2400,155.458,2917890
2500,183.050,3166102
2600,191.549,3424499
2700,196.933,3693178
2800,211.126,3971774
2900,227.534,4260580
3000,244.790,4559445
