Size,AvgTime(ms),AvgComparisons
100,0.192,295
200,0.419,669
300,0.634,931
400,0.842,1313
500,1.123,1718
600,1.401,2053
700,1.659,2408
800,1.879,2891
900,2.215,3318
1000,2.401,3834
1100,2.837,4142
1200,2.889,4603
1300,3.142,4958
1400,3.412,5404
1500,3.673,5874
1600,3.930,6364
1700,4.202,6795
1800,4.589,7289
1900,4.866,7905
2000,5.031,8361
2100,5.209,8997
2200,5.389,9275
2300,5.652,9609
2400,6.012,10158
2500,6.237,10688
2600,7.387,10894
2700,9.420,11517
2800,7.912,11979
2900,7.664,12743
3000,7.987,13282
