Size,AvgTime(ms),AvgComparisons
100,0.280,504
200,0.585,1171
300,0.816,1871
400,1.062,2697
500,1.259,3475
600,1.549,4284
700,2.059,5161
800,2.602,6093
900,2.644,6961
1000,2.744,7858
1100,3.026,8761
1200,3.459,9721
1300,4.444,10743
1400,3.990,11689
1500,4.207,12564
1600,4.563,13635
1700,4.889,14574
1800,5.176,15534
1900,5.648,16573
2000,5.760,17498
2100,6.112,18566
2200,6.329,19524
2300,6.929,20545
2400,7.456,21608
2500,7.693,22612
2600,8.939,23691
2700,8.536,24731
2800,8.826,25867
2900,8.854,26777
3000,9.044,27877
