Size,AvgTime(ms),AvgComparisons
100,0.189,304
200,0.403,622
300,0.620,913
400,0.857,1229
500,1.053,1509
600,1.319,1956
700,1.531,2349
800,1.764,2715
900,2.009,3051
1000,2.247,3360
1100,2.481,3862
1200,2.897,4324
1300,3.166,4789
1400,4.007,5190
1500,4.363,5557
1600,4.625,5935
1700,5.224,6261
1800,5.661,6706
1900,5.645,7045
2000,6.456,7387
2100,5.299,7775
2200,5.255,8296
2300,5.723,8926
2400,5.795,9346
2500,7.572,9844
2600,6.216,10256
2700,7.053,10760
2800,7.006,11137
2900,7.110,11625
3000,7.537,11922
