Size,AvgTime(ms),AvgComparisons
100,0.042,1179
200,0.117,2959
300,0.185,5224
400,0.277,7881
500,0.365,10461
600,0.429,11474
700,0.416,11131
800,0.621,17537
900,0.734,20847
1000,0.856,24140
1100,1.548,32098
1200,1.246,34836
1300,1.201,33781
1400,1.589,44677
1500,1.412,39860
1600,1.468,41319
1700,1.667,46252
1800,2.396,63160
1900,2.136,58497
2000,2.649,72537
2100,2.257,63918
2200,2.839,81958
2300,3.037,87766
2400,2.546,73477
2500,2.599,74949
2600,10.619,102952
2700,3.486,78760
2800,3.700,93554
2900,4.278,117741
3000,4.409,120160
