Size,AvgTime(ms),AvgComparisons
100,0.104,3003
200,0.262,7526
300,0.408,11963
400,0.562,16297
500,0.679,20249
600,0.853,24627
700,0.979,28888
800,1.142,33429
900,1.301,37993
1000,1.501,42969
1100,1.630,48037
1200,1.904,52964
1300,2.021,57131
1400,2.735,62380
1500,2.831,67550
1600,3.013,72005
1700,3.390,77278
1800,3.738,82457
1900,3.831,87929
2000,4.114,93069
2100,3.588,99353
2200,3.524,102917
2300,3.746,109289
2400,3.899,113636
2500,5.047,120466
2600,4.202,124755
2700,4.740,132063
2800,5.064,137149
2900,4.851,142152
3000,4.981,147688
